,edges,infection_time
163,192.0 (interacts with) 42.0,-1
164,328.0 (interacts with) 70.0,-1
165,328.0 (interacts with) 329.0,6
166,376.0 (interacts with) 52.0,-1
167,376.0 (interacts with) 375.0,-1
168,181.0 (interacts with) 16.0,-1
169,181.0 (interacts with) 140.0,10
170,74.0 (interacts with) 67.0,-1
171,346.0 (interacts with) 169.0,-1
172,36.0 (interacts with) 377.0,10
173,36.0 (interacts with) 170.0,9
174,36.0 (interacts with) 60.0,10
175,264.0 (interacts with) 26.0,-1
176,251.0 (interacts with) 198.0,-1
177,87.0 (interacts with) 84.0,8
178,87.0 (interacts with) 86.0,9
179,87.0 (interacts with) 88.0,-1
180,87.0 (interacts with) 132.0,9
181,87.0 (interacts with) 341.0,8
182,296.0 (interacts with) 26.0,-1
183,147.0 (interacts with) 67.0,-1
184,340.0 (interacts with) 26.0,-1
185,378.0 (interacts with) 314.0,-1
186,378.0 (interacts with) 70.0,-1
187,269.0 (interacts with) 52.0,3
188,269.0 (interacts with) 270.0,4
189,332.0 (interacts with) 16.0,-1
190,332.0 (interacts with) 70.0,10
191,332.0 (interacts with) 331.0,-1
192,55.0 (interacts with) 246.0,-1
193,176.0 (interacts with) 45.0,8
194,176.0 (interacts with) 177.0,-1
195,176.0 (interacts with) 303.0,-1
196,176.0 (interacts with) 355.0,-1
197,176.0 (interacts with) 204.0,8
198,176.0 (interacts with) 184.0,8
199,176.0 (interacts with) 270.0,-1
200,177.0 (interacts with) 16.0,-1
201,177.0 (interacts with) 47.0,8
202,177.0 (interacts with) 101.0,-1
203,177.0 (interacts with) 81.0,7
204,177.0 (interacts with) 247.0,8
205,201.0 (interacts with) 259.0,-1
206,201.0 (interacts with) 199.0,-1
207,201.0 (interacts with) 18.0,4
208,201.0 (interacts with) 200.0,-1
209,201.0 (interacts with) 254.0,-1
210,201.0 (interacts with) 211.0,5
211,201.0 (interacts with) 337.0,5
212,201.0 (interacts with) 180.0,5
213,201.0 (interacts with) 134.0,-1
214,201.0 (interacts with) 329.0,5
215,201.0 (interacts with) 122.0,5
216,201.0 (interacts with) 103.0,-1
217,313.0 (interacts with) 16.0,-1
218,313.0 (interacts with) 250.0,-1
219,313.0 (interacts with) 24.0,-1
220,313.0 (interacts with) 379.0,8
221,288.0 (interacts with) 21.0,9
222,98.0 (interacts with) 26.0,6
223,98.0 (interacts with) 170.0,-1
224,98.0 (interacts with) 265.0,7
225,98.0 (interacts with) 94.0,7
226,98.0 (interacts with) 93.0,7
227,222.0 (interacts with) 355.0,11
228,222.0 (interacts with) 149.0,12
229,54.0 (interacts with) 70.0,10
230,267.0 (interacts with) 52.0,-1
231,267.0 (interacts with) 266.0,-1
232,156.0 (interacts with) 270.0,-1
233,335.0 (interacts with) 14.0,8
234,335.0 (interacts with) 7.0,-1
235,335.0 (interacts with) 94.0,-1
236,217.0 (interacts with) 339.0,-1
237,302.0 (interacts with) 67.0,-1
238,302.0 (interacts with) 334.0,10
239,240.0 (interacts with) 202.0,5
240,240.0 (interacts with) 204.0,-1
241,240.0 (interacts with) 125.0,6
242,240.0 (interacts with) 175.0,-1
243,240.0 (interacts with) 257.0,-1
244,240.0 (interacts with) 243.0,6
245,104.0 (interacts with) 106.0,-1
246,104.0 (interacts with) 135.0,-1
247,104.0 (interacts with) 357.0,11
248,104.0 (interacts with) 70.0,10
249,203.0 (interacts with) 199.0,-1
250,203.0 (interacts with) 24.0,11
251,229.0 (interacts with) 24.0,11
252,174.0 (interacts with) 236.0,10
253,174.0 (interacts with) 299.0,11
254,16.0 (interacts with) 154.0,-1
255,16.0 (interacts with) 324.0,10
256,16.0 (interacts with) 373.0,10
257,16.0 (interacts with) 275.0,-1
258,16.0 (interacts with) 238.0,11
259,16.0 (interacts with) 159.0,11
260,16.0 (interacts with) 108.0,10
261,16.0 (interacts with) 200.0,11
262,16.0 (interacts with) 59.0,11
263,16.0 (interacts with) 172.0,-1
264,16.0 (interacts with) 236.0,10
265,16.0 (interacts with) 289.0,-1
266,16.0 (interacts with) 227.0,11
267,16.0 (interacts with) 372.0,11
268,16.0 (interacts with) 77.0,11
269,154.0 (interacts with) 26.0,6
270,154.0 (interacts with) 303.0,-1
271,324.0 (interacts with) 45.0,9
