,edges,infection_time
715,18.0 (interacts with) 365.0,-1
716,18.0 (interacts with) 143.0,-1
717,18.0 (interacts with) 308.0,3
718,18.0 (interacts with) 272.0,-1
719,211.0 (interacts with) 219.0,6
720,202.0 (interacts with) 245.0,-1
721,202.0 (interacts with) 72.0,5
722,202.0 (interacts with) 215.0,4
723,202.0 (interacts with) 125.0,-1
724,245.0 (interacts with) 110.0,-1
725,245.0 (interacts with) 132.0,-1
726,245.0 (interacts with) 99.0,9
727,72.0 (interacts with) 71.0,-1
728,72.0 (interacts with) 73.0,-1
729,215.0 (interacts with) 52.0,3
730,215.0 (interacts with) 91.0,-1
731,125.0 (interacts with) 124.0,7
732,125.0 (interacts with) 121.0,7
733,52.0 (interacts with) 50.0,-1
734,52.0 (interacts with) 169.0,-1
735,52.0 (interacts with) 266.0,-1
736,52.0 (interacts with) 364.0,-1
737,52.0 (interacts with) 187.0,3
738,52.0 (interacts with) 112.0,3
739,52.0 (interacts with) 252.0,3
740,8.0 (interacts with) 7.0,-1
741,8.0 (interacts with) 6.0,9
742,8.0 (interacts with) 62.0,9
743,8.0 (interacts with) 343.0,9
744,8.0 (interacts with) 344.0,-1
745,8.0 (interacts with) 256.0,-1
746,8.0 (interacts with) 169.0,9
747,8.0 (interacts with) 283.0,8
748,8.0 (interacts with) 63.0,9
749,231.0 (interacts with) 237.0,-1
750,231.0 (interacts with) 361.0,-1
751,231.0 (interacts with) 283.0,7
752,231.0 (interacts with) 248.0,-1
753,231.0 (interacts with) 341.0,7
754,231.0 (interacts with) 27.0,-1
755,361.0 (interacts with) 140.0,-1
756,361.0 (interacts with) 102.0,11
757,239.0 (interacts with) 326.0,11
758,239.0 (interacts with) 207.0,10
759,239.0 (interacts with) 244.0,-1
760,239.0 (interacts with) 100.0,-1
761,239.0 (interacts with) 265.0,-1
762,40.0 (interacts with) 11.0,9
763,40.0 (interacts with) 28.0,9
764,40.0 (interacts with) 173.0,-1
765,40.0 (interacts with) 53.0,9
766,40.0 (interacts with) 218.0,-1
767,40.0 (interacts with) 88.0,-1
768,40.0 (interacts with) 94.0,8
769,163.0 (interacts with) 242.0,10
770,7.0 (interacts with) 111.0,-1
771,111.0 (interacts with) 33.0,-1
772,111.0 (interacts with) 100.0,11
773,62.0 (interacts with) 56.0,-1
774,169.0 (interacts with) 368.0,-1
775,169.0 (interacts with) 76.0,9
776,169.0 (interacts with) 175.0,10
777,169.0 (interacts with) 168.0,10
778,169.0 (interacts with) 291.0,9
779,169.0 (interacts with) 80.0,10
780,63.0 (interacts with) 100.0,10
781,193.0 (interacts with) 100.0,11
782,193.0 (interacts with) 331.0,11
783,100.0 (interacts with) 368.0,10
784,100.0 (interacts with) 30.0,-1
785,100.0 (interacts with) 157.0,-1
786,100.0 (interacts with) 327.0,11
787,100.0 (interacts with) 230.0,-1
788,100.0 (interacts with) 333.0,10
789,331.0 (interacts with) 333.0,10
790,25.0 (interacts with) 86.0,-1
791,25.0 (interacts with) 91.0,7
792,317.0 (interacts with) 99.0,-1
793,301.0 (interacts with) 299.0,-1
794,301.0 (interacts with) 300.0,9
795,31.0 (interacts with) 30.0,-1
796,31.0 (interacts with) 309.0,-1
797,115.0 (interacts with) 37.0,7
798,115.0 (interacts with) 53.0,-1
799,115.0 (interacts with) 185.0,-1
800,115.0 (interacts with) 212.0,-1
801,358.0 (interacts with) 359.0,-1
802,56.0 (interacts with) 10.0,10
803,56.0 (interacts with) 194.0,9
804,265.0 (interacts with) 299.0,-1
805,265.0 (interacts with) 351.0,8
806,300.0 (interacts with) 116.0,9
807,300.0 (interacts with) 85.0,-1
808,351.0 (interacts with) 244.0,8
809,351.0 (interacts with) 348.0,8
810,351.0 (interacts with) 360.0,8
811,351.0 (interacts with) 212.0,-1
812,10.0 (interacts with) 12.0,10
813,10.0 (interacts with) 140.0,10
814,277.0 (interacts with) 43.0,8
815,277.0 (interacts with) 276.0,-1
816,12.0 (interacts with) 9.0,-1
817,140.0 (interacts with) 352.0,-1
818,11.0 (interacts with) 185.0,10
819,11.0 (interacts with) 86.0,-1
820,185.0 (interacts with) 106.0,-1
821,185.0 (interacts with) 219.0,-1
822,185.0 (interacts with) 186.0,10
823,86.0 (interacts with) 106.0,10
824,86.0 (interacts with) 30.0,-1
825,86.0 (interacts with) 282.0,10
826,86.0 (interacts with) 123.0,9
827,86.0 (interacts with) 85.0,9
828,86.0 (interacts with) 293.0,10
829,69.0 (interacts with) 75.0,9
830,69.0 (interacts with) 285.0,-1
831,69.0 (interacts with) 148.0,-1
832,69.0 (interacts with) 242.0,-1
833,69.0 (interacts with) 116.0,-1
834,69.0 (interacts with) 58.0,9
835,69.0 (interacts with) 105.0,10
836,75.0 (interacts with) 33.0,-1
837,75.0 (interacts with) 85.0,-1
838,75.0 (interacts with) 348.0,8
839,285.0 (interacts with) 76.0,9
840,242.0 (interacts with) 243.0,-1
841,242.0 (interacts with) 102.0,10
842,116.0 (interacts with) 255.0,-1
843,116.0 (interacts with) 187.0,-1
844,116.0 (interacts with) 207.0,-1
845,58.0 (interacts with) 85.0,-1
846,58.0 (interacts with) 88.0,-1
847,105.0 (interacts with) 106.0,-1
848,105.0 (interacts with) 78.0,-1
849,105.0 (interacts with) 102.0,-1
850,319.0 (interacts with) 41.0,10
851,319.0 (interacts with) 291.0,9
852,319.0 (interacts with) 333.0,-1
853,188.0 (interacts with) 132.0,10
854,368.0 (interacts with) 85.0,9
855,91.0 (interacts with) 233.0,8
856,91.0 (interacts with) 76.0,8
857,91.0 (interacts with) 90.0,8
858,85.0 (interacts with) 88.0,-1
859,85.0 (interacts with) 260.0,9
860,85.0 (interacts with) 138.0,9
861,85.0 (interacts with) 253.0,9
862,88.0 (interacts with) 110.0,9
863,88.0 (interacts with) 260.0,9
864,88.0 (interacts with) 309.0,8
865,88.0 (interacts with) 280.0,-1
866,109.0 (interacts with) 33.0,-1
867,221.0 (interacts with) 33.0,-1
868,221.0 (interacts with) 175.0,11
869,233.0 (interacts with) 71.0,-1
870,158.0 (interacts with) 33.0,-1
871,320.0 (interacts with) 280.0,9
872,50.0 (interacts with) 316.0,-1
873,168.0 (interacts with) 30.0,-1
874,43.0 (interacts with) 41.0,-1
875,43.0 (interacts with) 276.0,8
876,79.0 (interacts with) 78.0,10
877,33.0 (interacts with) 30.0,-1
878,33.0 (interacts with) 34.0,-1
879,33.0 (interacts with) 352.0,4
880,33.0 (interacts with) 187.0,4
881,30.0 (interacts with) 34.0,-1
882,34.0 (interacts with) 212.0,9
883,175.0 (interacts with) 173.0,11
884,71.0 (interacts with) 73.0,8
885,71.0 (interacts with) 186.0,9
886,316.0 (interacts with) 96.0,-1
887,76.0 (interacts with) 212.0,-1
888,76.0 (interacts with) 93.0,8
889,364.0 (interacts with) 173.0,12
890,112.0 (interacts with) 326.0,-1
891,246.0 (interacts with) 41.0,10
892,106.0 (interacts with) 260.0,10
893,106.0 (interacts with) 41.0,-1
894,228.0 (interacts with) 96.0,-1
895,96.0 (interacts with) 94.0,8
896,96.0 (interacts with) 93.0,8
897,28.0 (interacts with) 212.0,9
898,212.0 (interacts with) 73.0,8
899,212.0 (interacts with) 209.0,-1
900,212.0 (interacts with) 224.0,-1
901,218.0 (interacts with) 207.0,-1
902,94.0 (interacts with) 93.0,-1
903,315.0 (interacts with) 359.0,12
904,315.0 (interacts with) 121.0,-1
905,41.0 (interacts with) 326.0,11
906,99.0 (interacts with) 93.0,8
907,121.0 (interacts with) 123.0,8
908,369.0 (interacts with) 370.0,-1
909,194.0 (interacts with) 110.0,9
910,299.0 (interacts with) 243.0,-1
911,290.0 (interacts with) 291.0,8
912,110.0 (interacts with) 132.0,-1
913,360.0 (interacts with) 280.0,8
