infected_nodes,name,nb,selected,shared name
-1,159,0.060045659,FALSE,159
12,154,0.154778461,FALSE,154
9,299,0.113279862,FALSE,299
3,357,0.118741538,FALSE,357
5,135,0.148595225,FALSE,135
7,106,0.189475586,FALSE,106
9,243,0.110994814,FALSE,243
9,257,0.159690329,FALSE,257
11,175,0.102470181,FALSE,175
6,125,0.1242548,FALSE,125
7,202,0.163617725,FALSE,202
5,334,0.186557903,FALSE,334
3,339,0.052462346,FALSE,339
5,7,0.111451441,FALSE,7
8,14,0.105302574,FALSE,14
7,266,0.108056794,FALSE,266
8,93,0.160183293,FALSE,93
7,94,0.15060802,FALSE,94
10,265,0.171802145,FALSE,265
10,21,0.144058014,FALSE,21
3,379,0.13481061,FALSE,379
3,24,0.174905062,FALSE,24
3,250,0.190289291,FALSE,250
11,103,0.06813237,FALSE,103
7,122,0.149464339,FALSE,122
10,180,0.078986268,FALSE,180
10,337,0.115612709,FALSE,337
9,211,0.132930171,FALSE,211
11,200,0.129664806,FALSE,200
5,18,0.11167337,FALSE,18
9,199,0.141481042,FALSE,199
10,259,0.109117014,FALSE,259
5,247,0.111471081,FALSE,247
6,81,0.188398898,FALSE,81
10,101,0.120572282,FALSE,101
5,204,0.173516242,FALSE,204
5,355,0.151996395,FALSE,355
5,331,0.09422209,FALSE,331
9,270,0.174874853,FALSE,270
8,341,0.086186253,FALSE,341
8,132,0.163062747,FALSE,132
8,88,0.240507794,FALSE,88
8,86,0.229787619,FALSE,86
8,198,0.073624167,FALSE,198
12,60,0.101271824,FALSE,60
6,170,0.229944146,FALSE,170
3,169,0.283691784,FALSE,169
11,140,0.117950828,FALSE,140
10,375,0.092669482,FALSE,375
6,52,0.260304144,FALSE,52
10,329,0.104277131,FALSE,329
5,70,0.322195389,FALSE,70
9,178,0.102719022,FALSE,178
7,231,0.247054877,FALSE,231
11,373,0.122123251,FALSE,373
10,108,0.191565604,FALSE,108
10,127,0.130371869,FALSE,127
4,324,0.135841077,FALSE,324
3,16,0.328953053,FALSE,16
7,26,0.316986499,FALSE,26
8,97,0.190904516,FALSE,97
9,42,0.16894754,FALSE,42
2,67,0.316918199,FALSE,67
4,32,0.239284109,FALSE,32
10,314,0.121761685,FALSE,314
11,303,0.258501137,FALSE,303
10,166,0.108331493,FALSE,166
