,name,network,N,L,<k>,gamma,r,DMP_betac,LS,alphac,Gini_eigen,Gini_nonback,CV_eigen,CV_nonback,IPV4_eigen,IPV4_nonback
24,_powerlaw_3.3_mink_2_p_0.6_assort.edgelist,"Configuration model (Assort, p=0.6)",100000,138849,2.78,3.3,0.0769,0.1165,1.278,5.04,0.9439581687415272,0.8576559329031984,3.114004508764961,1.277993173975129,0.09365866455236263,1.064589887685523
25,_powerlaw_3.3_mink_2_p_0.7_assort.edgelist,"Configuration model (Assort, p=0.7)",100000,138849,2.78,3.3,0.086,0.107,1.3438,5.2,0.9397065802341568,0.8702131890789012,2.9691157821231045,1.3438199595467795,0.10226542868148951,1.0430612871168357
26,_powerlaw_3.3_mink_2_p_0.8_assort.edgelist,"Configuration model (Assort, p=0.8)",100000,138849,2.78,3.3,0.0966,0.0988,1.4131,5.35,0.9380645760302841,0.8825566130373069,2.7630126123309307,1.4131169864867037,0.07613380638835072,1.002604187061814
27,_powerlaw_3.3_mink_2_p_0.9_assort.edgelist,"Configuration model (Assort, p=0.9)",100000,138849,2.78,3.3,0.11699999999999999,0.0884,1.5549,5.7,0.9397662984329465,0.8994499885729861,2.659175126552987,1.5549024144346009,0.05505872933131578,1.4924263760940875
28,_powerlaw_3.3_mink_2_p_1.0_assort.edgelist,"Configuration model (Assort, p=1.0)",100000,138849,2.78,3.3,0.141,0.077,1.7690000000000001,6.5,0.9449893689121761,0.9187518835740475,2.6490768376297797,1.76900371081003,0.041572698462271504,2.3164719174142925
29,100000_12.1.edgelist,GKK model,51490,100000,3.88,2.1,-0.1108,0.0109,0.7665,1.5,0.7575734562968938,0.7366829541303457,0.7887643420856962,0.7665333823121717,0.03181549941632419,115.25059997372716
30,100000_12.2.edgelist,GKK model,57539,100000,3.48,2.2,-0.0783,0.0147,0.8748,2.25,0.7967263728578942,0.7668442723190336,0.958103987975282,0.8748190854082522,0.04844081048251679,76.04047848136524
31,100000_12.3.edgelist,GKK model,62597,100000,3.2,2.3,-0.0542,0.0201,0.9692,3.25,0.8279949273428195,0.7908552519296119,1.150230341165923,0.9691753844350502,0.0644349732315088,45.690043235735885
32,100000_12.4.edgelist,GKK model,66554,100000,3.01,2.4,-0.0345,0.0282,1.0284,3.26,0.855878057311695,0.80803310329749,1.3910341144587302,1.028393845016865,0.09598096930703104,26.296561301947442
33,100000_12.5.edgelist,GKK model,69853,100000,2.86,2.5,-0.0208,0.0415,1.0476,3.56,0.8841505974197797,0.8170522499058093,1.7607021938335439,1.0475923465893273,0.14675257549595333,13.036693360218624
34,100000_12.6.edgelist,GKK model,72258,100000,2.77,2.6,-0.0123,0.0572,1.0701,3.81,0.9104410464954491,0.8216321233387249,2.2373950485095966,1.070127179518736,0.1819317723186436,7.992920393473315
35,100000_12.7.edgelist,GKK model,74223,100000,2.69,2.7,-0.0111,0.0849,1.0025,3.41,0.9343700069446679,0.8043759672194757,3.018049690777453,1.002504287435509,0.21474768536224967,2.4973824582329933
36,100000_12.8.edgelist,GKK model,75961,100000,2.63,2.8,-0.003,0.1068,1.028,3.28,0.9441560033493631,0.8013013163573652,3.5066791025264465,1.0279711547105304,0.2180163157948928,1.6232873567657489
37,100000_12.9.edgelist,GKK model,77173,100000,2.59,2.9,-0.0051,0.1403,0.9539,2.8,0.9670242402172362,0.7774142093343293,4.8406230311092555,0.9538667786291556,0.2373375126289714,0.6241994289157875
