,name,Gini_eigen,Gini_nonback,CV_eigen,CV_nonback,IPV4_eigen,IPV4_nonback
48,phonecalls,0.981389737,0.980265245,4.84695341,4.587776126,0.044950608,8.932031353
49,power-bcspwr10,0.99146842,0.993639501,4.748159729,5.044637555,0.11069495,3.619292943
2,road-minnesota,0.955370648,0.937278106,2.032829545,1.704279517,0.027548948,0.259572262
52,soc-academia,0.881421084,0.860973383,0.402541579,0.338709426,0.076937442,399.2101065
22,soc-advogato,0.686777971,0.684377483,0.115785794,0.113189068,0.008723746,33.54024486
3,soc-delicious,0.871064125,0.867569078,1.054939108,1.030772106,0.00353842,17.02501859
5,soc-digg,0.951215901,0.951260587,0.497743836,0.496761179,0.000575879,245.8331158
37,fb-Huawei,0.052862282,0.052344778,0.000935322,0.000926174,0.001034696,10.58585171
23,soc-fb-pages-artist,0.802234442,0.802089727,0.084821734,0.08440778,0.00132032,40.41652759
19,soc-fb-pages-company,0.971540053,0.978091702,1.672435451,1.718007655,0.023073562,22.77744627
65,soc-fb-pages-government,0.835126661,0.834534178,0.107101987,0.106460767,0.005476848,57.41582039
12,soc-fb-pages-media,0.759946171,0.755766262,0.158340194,0.152831342,0.003634736,10.62146767
54,soc-instagram-Huawei,0.206268284,0.188356719,0.037122001,0.033726192,0.00151326,0.169574089
62,soc-musae-git,0.635922391,0.636571233,0.125648096,0.121845324,0.026492647,219.3072148
67,soc-Slashdot081106,0.817575184,0.816803198,0.282030631,0.281013256,0.002200741,34.89017862
41,soc-twitter-Huawei,0.018536344,0.018499405,6.55E-05,6.53E-05,0.001004285,252.2420043
55,web-EPA,0.636515752,0.614506417,0.437698783,0.380664784,0.021205845,1.88022712
17,web-webbase-2001,0.905849273,0.997840843,1.289646351,6.869985107,0.172614612,31.02933501
