,name,Gini_eigen,Gini_nonback,CV_eigen,CV_nonback,IPV4_eigen,IPV4_nonback
0,100000_7_3.3.edgelist,0.4796995800824023,0.3874064424800078,0.12788834926142575,0.07809639086219199,0.018143395665982158,0.47776826778442893
1,_powerlaw_3.3_mink_2_p_0.6_assort.edgelist,0.9439581687415272,0.8576559329031984,3.114004508764961,1.277993173975129,0.09365866455236263,1.064589887685523
2,100000_1_3.3.edgelist,0.9840492122967337,0.6624674661314658,6.103466797811345,0.6571709822079247,0.1540284437237675,0.06403794217056913
3,100000_13.2.edgelist,0.9808006962689088,0.7126052735147436,6.157990190454824,0.8219939847874302,0.2031932922737633,0.1551525660991455
4,_powerlaw_3.3_mink_2_p_0.7_dissort.edgelist,0.9920530118251232,0.655034705230283,7.482435918125759,0.6869675378389518,0.24314076554066733,0.09854209377227845
5,100000_6_3.3.edgelist,0.6034678950956138,0.41537161265239,0.2867991182088446,0.0952743067497899,0.14795183739177636,0.5590238386184907
6,100000_12.5.edgelist,0.8841505974197797,0.8170522499058093,1.7607021938335439,1.0475923465893273,0.14675257549595333,13.036693360218624
7,100000_12.9.edgelist,0.9670242402172362,0.7774142093343293,4.8406230311092555,0.9538667786291556,0.2373375126289714,0.6241994289157875
8,_powerlaw_3.3_mink_2_p_0.4_dissort.edgelist,0.9880102134828597,0.6778940088649896,5.474024154081508,0.7193539853934466,0.15863019661634556,0.13934386181006755
9,100000_2_3.3.edgelist,0.9313542238069819,0.553536337320041,2.540668003346724,0.3334567126307869,0.2128024312919855,0.19161795681403174
10,_powerlaw_3.3_mink_2_p_0.2_assort.edgelist,0.975981448917942,0.7532135410582887,5.702635254981648,0.8376446773326557,0.22783268351383243,0.18255777273634033
11,100000_9_3.3.edgelist,0.4840496310166953,0.38058104871159026,0.10968659102652625,0.06146935067852047,0.04466843737643859,1.177734106336939
12,_powerlaw_3.3_mink_2_p_0.9_dissort.edgelist,0.9931231405004084,0.651325971469371,7.439517777654701,0.6996875766017113,0.24133771620010477,0.11073312427843299
13,_powerlaw_3.3_mink_2_p_0.5_assort.edgelist,0.9469497567364151,0.8333258257257605,3.367865416614016,1.1410376602875747,0.12560259193693424,0.671725490466334
14,100000_13.6.edgelist,0.9902041004992285,0.6252411470378483,8.774379476863594,0.6328795675110189,0.20454406453414323,0.026338913479336812
15,100000_13.8.edgelist,0.9930956434048033,0.5854429146988784,10.884499459100631,0.5436562849832418,0.22982928208438014,0.00826834821744179
16,_powerlaw_3.3_mink_2_p_0.2_dissort.edgelist,0.9897247477108495,0.6613747220179076,7.139391117636595,0.6435646454270122,0.24059054028501692,0.06877182350530116
17,_powerlaw_3.3_mink_2_p_1.0_dissort.edgelist,0.9935406470422714,0.6509408525167515,7.656668719649772,0.6788839904186166,0.24146342670127197,0.08493420156924297
18,100000_14.0.edgelist,0.9933724158314935,0.5524976761923371,12.108773159443466,0.49236008722159275,0.23111163544326155,0.0048774773863529556
19,100000_12.4.edgelist,0.855878057311695,0.80803310329749,1.3910341144587302,1.028393845016865,0.09598096930703104,26.296561301947442
20,100000_12.7.edgelist,0.9343700069446679,0.8043759672194757,3.018049690777453,1.002504287435509,0.21474768536224967,2.4973824582329933
21,100000_13.5.edgelist,0.987964335784888,0.6294036470084972,9.305117268832456,0.6221950443142981,0.23240411463540392,0.021628890894019454
