"infected_nodes","name","nb","selected","shared name"
"6.0","331.0","0.020031735","false","331.0"
"-1.0","43.0","0.02306453","false","43.0"
"-1.0","167.0","0.008204674","false","167.0"
"-1.0","320.0","0.029246062","false","320.0"
"-1.0","222.0","0.00969954","false","222.0"
"-1.0","28.0","0.021953625","false","28.0"
"-1.0","293.0","0.007265397","false","293.0"
"-1.0","162.0","0.009249713","false","162.0"
"-1.0","207.0","0.037407215","false","207.0"
"-1.0","137.0","0.00737902","false","137.0"
"10.0","188.0","0.016349018","false","188.0"
"-1.0","248.0","0.003473164","false","248.0"
"-1.0","308.0","0.015193976","false","308.0"
"-1.0","307.0","0.001089767","false","307.0"
"-1.0","268.0","0.018766754","false","268.0"
"-1.0","259.0","0.007091054","false","259.0"
"-1.0","129.0","0.012829779","false","129.0"
"-1.0","366.0","0.014327893","false","366.0"
"15.0","160.0","0.018117575","false","160.0"
"-1.0","330.0","0.014793358","false","330.0"
"-1.0","258.0","0.037159061","false","258.0"
"-1.0","121.0","0.024810015","false","121.0"
"-1.0","273.0","0.011791169","false","273.0"
"-1.0","29.0","0.024073704","false","29.0"
"-1.0","365.0","0.018344402","false","365.0"
"-1.0","261.0","0.023956022","false","261.0"
"-1.0","58.0","0.0383072","false","58.0"
"-1.0","264.0","0.013186227","false","264.0"
"-1.0","133.0","0.049453607","false","133.0"
"-1.0","218.0","0.017180247","false","218.0"
"-1.0","282.0","0.02971793","false","282.0"
"-1.0","173.0","0.030027386","false","173.0"
"-1.0","39.0","0.022068983","false","39.0"
"-1.0","353.0","0.044779002","false","353.0"
"-1.0","301.0","0.011026158","false","301.0"
"-1.0","193.0","0.009945354","false","193.0"
"-1.0","118.0","0.010696012","false","118.0"
"-1.0","339.0","0.006748492","false","339.0"
"-1.0","144.0","0.003767132","false","144.0"
"-1.0","143.0","0.012908004","false","143.0"
"-1.0","260.0","0.024384849","false","260.0"
"5.0","246.0","0.074636252","false","246.0"
"-1.0","276.0","0.020238748","false","276.0"
"-1.0","344.0","0.025193801","false","344.0"
"-1.0","62.0","0.026949108","false","62.0"
"-1.0","110.0","0.063125219","false","110.0"
"-1.0","243.0","0.065251605","false","243.0"
"-1.0","55.0","0.028025557","false","55.0"
"-1.0","280.0","0.013356785","false","280.0"
"7.0","91.0","0.175489327","false","91.0"
"7.0","175.0","0.076450302","false","175.0"
"-1.0","317.0","0.072337742","false","317.0"
"-1.0","296.0","0.071479674","false","296.0"
"-1.0","234.0","0.072078","false","234.0"
"-1.0","125.0","0.113213187","false","125.0"
"-1.0","27.0","0.073382884","false","27.0"
"-1.0","7.0","0.094798267","false","7.0"
"-1.0","50.0","0.087974714","false","50.0"
"-1.0","56.0","0.053924422","false","56.0"
"-1.0","66.0","0.075813047","false","66.0"
"-1.0","82.0","0.117885913","false","82.0"
"-1.0","271.0","0.037253421","false","271.0"
"-1.0","270.0","0.087192605","false","270.0"
"-1.0","253.0","0.043066995","false","253.0"
"-1.0","211.0","0.063057966","false","211.0"
"-1.0","329.0","0.037202203","false","329.0"
"-1.0","87.0","0.155093224","false","87.0"
"-1.0","242.0","0.018453012","false","242.0"
"-1.0","223.0","0.014097663","false","223.0"
"-1.0","149.0","0.016533183","false","149.0"
"-1.0","229.0","0.014244987","false","229.0"
"14.0","238.0","0.086249261","false","238.0"
"-1.0","257.0","0.08340534","false","257.0"
"-1.0","245.0","0.066001234","false","245.0"
"-1.0","102.0","0.112147926","false","102.0"
"-1.0","155.0","0.039327064","false","155.0"
"-1.0","203.0","0.034744566","false","203.0"
"-1.0","200.0","0.018910731","false","200.0"
"-1.0","41.0","0.098979365","false","41.0"
"-1.0","80.0","0.048201081","false","80.0"
"-1.0","318.0","0.029174176","false","318.0"
"14.0","263.0","0.049623688","false","263.0"
"-1.0","84.0","0.081543155","false","84.0"
"6.0","240.0","0.107756549","false","240.0"
"9.0","123.0","0.062648775","false","123.0"
"-1.0","68.0","0.073021192","false","68.0"
"-1.0","358.0","0.061930281","false","358.0"
"-1.0","205.0","0.048645018","false","205.0"
"8.0","140.0","0.154582722","false","140.0"
"-1.0","172.0","0.119155556","false","172.0"
"-1.0","60.0","0.11786763","false","60.0"
"6.0","76.0","0.14354578","false","76.0"
"-1.0","36.0","0.065220263","false","36.0"
"-1.0","34.0","0.071623053","false","34.0"
"-1.0","146.0","0.051692173","false","146.0"
"-1.0","354.0","0.078814143","false","354.0"
"-1.0","265.0","0.090926416","false","265.0"
"7.0","299.0","0.082857534","false","299.0"
"-1.0","101.0","0.113656352","false","101.0"
"-1.0","132.0","0.084034591","false","132.0"
"-1.0","130.0","0.086100698","false","130.0"
"-1.0","199.0","0.081841415","false","199.0"
"8.0","107.0","0.133973073","false","107.0"
"-1.0","197.0","0.057498488","false","197.0"
"-1.0","290.0","0.06997792","false","290.0"
"10.0","122.0","0.085182271","false","122.0"
"-1.0","49.0","0.102034504","false","49.0"
"-1.0","10.0","0.082958785","false","10.0"
"-1.0","184.0","0.05264174","false","184.0"
"-1.0","147.0","0.049488468","false","147.0"
"-1.0","99.0","0.087627828","false","99.0"
"-1.0","97.0","0.107632414","false","97.0"
"-1.0","96.0","0.087932577","false","96.0"
"-1.0","94.0","0.088427299","false","94.0"
"-1.0","114.0","0.063002332","false","114.0"
"-1.0","158.0","0.013568828","false","158.0"
"-1.0","241.0","0.020526569","false","241.0"
"-1.0","108.0","0.153505303","false","108.0"
"-1.0","213.0","0.040526091","false","213.0"
"-1.0","212.0","0.112606691","false","212.0"
"-1.0","210.0","0.07099737","false","210.0"
"5.0","335.0","0.072267103","false","335.0"
"-1.0","359.0","0.074230007","false","359.0"
"-1.0","364.0","0.10172188","false","364.0"
"-1.0","291.0","0.113044085","false","291.0"
"-1.0","379.0","0.058395982","false","379.0"
"-1.0","367.0","0.048615973","false","367.0"
