"","infection_time","interaction","name","selected","shared interaction","shared name"
"706","-1","interacts with","125.0 (interacts with) 134.0","false","interacts with","125.0 (interacts with) 134.0"
"705","-1","interacts with","125.0 (interacts with) 256.0","false","interacts with","125.0 (interacts with) 256.0"
"704","-1","interacts with","125.0 (interacts with) 140.0","false","interacts with","125.0 (interacts with) 140.0"
"700","-1","interacts with","27.0 (interacts with) 28.0","false","interacts with","27.0 (interacts with) 28.0"
"699","-1","interacts with","27.0 (interacts with) 25.0","false","interacts with","27.0 (interacts with) 25.0"
"680","-1","interacts with","7.0 (interacts with) 265.0","false","interacts with","7.0 (interacts with) 265.0"
"679","-1","interacts with","7.0 (interacts with) 190.0","false","interacts with","7.0 (interacts with) 190.0"
"678","-1","interacts with","7.0 (interacts with) 6.0","false","interacts with","7.0 (interacts with) 6.0"
"770","-1","interacts with","56.0 (interacts with) 178.0","false","interacts with","56.0 (interacts with) 178.0"
"769","-1","interacts with","56.0 (interacts with) 225.0","false","interacts with","56.0 (interacts with) 225.0"
"806","-1","interacts with","66.0 (interacts with) 207.0","false","interacts with","66.0 (interacts with) 207.0"
"805","-1","interacts with","66.0 (interacts with) 266.0","false","interacts with","66.0 (interacts with) 266.0"
"848","-1","interacts with","82.0 (interacts with) 84.0","false","interacts with","82.0 (interacts with) 84.0"
"900","-1","interacts with","271.0 (interacts with) 187.0","false","interacts with","271.0 (interacts with) 187.0"
"799","-1","interacts with","270.0 (interacts with) 133.0","false","interacts with","270.0 (interacts with) 133.0"
"798","-1","interacts with","270.0 (interacts with) 232.0","false","interacts with","270.0 (interacts with) 232.0"
"881","-1","interacts with","253.0 (interacts with) 252.0","false","interacts with","253.0 (interacts with) 252.0"
"559","-1","interacts with","211.0 (interacts with) 213.0","false","interacts with","211.0 (interacts with) 213.0"
"558","-1","interacts with","211.0 (interacts with) 210.0","false","interacts with","211.0 (interacts with) 210.0"
"625","-1","interacts with","329.0 (interacts with) 266.0","false","interacts with","329.0 (interacts with) 266.0"
"624","-1","interacts with","87.0 (interacts with) 91.0","false","interacts with","87.0 (interacts with) 91.0"
"623","-1","interacts with","87.0 (interacts with) 270.0","false","interacts with","87.0 (interacts with) 270.0"
"622","-1","interacts with","87.0 (interacts with) 84.0","false","interacts with","87.0 (interacts with) 84.0"
"621","-1","interacts with","87.0 (interacts with) 125.0","false","interacts with","87.0 (interacts with) 125.0"
"598","-1","interacts with","242.0 (interacts with) 280.0","false","interacts with","242.0 (interacts with) 280.0"
"597","-1","interacts with","242.0 (interacts with) 244.0","false","interacts with","242.0 (interacts with) 244.0"
